phone_number,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99
TT5CWSNUDOVZZI3,86.01626134863463,565.1875084025172,872.0926318638909,130.29734197336998,148.73486171882507,385.3710557711933,96.07878483913711,20.87175342752129,20.16396256606012,540.6742523819895,163.3296691460537,499.43141756233064,20.91865941392953,305.2565665833036,258.6885568448072,129.61254847079292,236.44375190488685,44.027321853968104,302.66044492039987,450.83703009920976,97.61464241954492,298.3337458446263,2.1926937224761995,153.65056799718135,186.79082188904874,8.712830092529376,34.57000140683524,725.2157169912055,316.70719432718863,233.90952119992681,1.713372025837949,539.0462281115008,245.68883296844066,7.875007203458251,339.87101319196313,185.91891040053474,183.44027798639547,26.419793422499406,116.03941018555047,228.80800357458267,396.4319394536418,45.669892851673495,745.984933527418,279.9324184031398,44.98965658173898,215.83797448293768,188.37476389282727,0.054137264106687955,468.24146858524307,22.453223226256757,64.87527430100677,108.75113675665047,547.5000705837622,568.5617968983406,122.9006305186763,284.9092872488884,357.1394688035109,255.4744047545823,515.3472448395677,93.77030264124025,488.2566380611118,80.02807257210121,92.1270094437535,117.98518921152309,102.70049884367312,805.6025091583717,223.32046182179312,523.0526638898536,106.1898005311192,534.5956961141009,189.1030288686349,52.217075021202426,95.1173260667898,898.0325773339927,21.335377389394672,284.65015435499674,108.68846411359706,349.3272792365783,710.0541545899973,24.132121523892618,54.41313142273407,184.63559821804256,558.5356871847849,137.57958325834352,161.990500927074,43.661908027581674,612.5435558940239,80.84616314146689,9.644693257752627,16.64206747449014,578.3094267818835,267.47145970983183,340.62315773461086,80.4301379130856,65.56014536786003,72.65573768833224,148.10096580517083,653.677635355481,4.203996289085502,432.07547865172796
C9AB6NZMLE1XABM,7.652907077749431,388.0273238618793,434.1129517625005,899.511252808794,185.1992423855371,263.67003666949665,12.060757294108871,71.28716712799748,88.18539761571598,68.61485773033614,202.42083186549664,19.145406386854535,9.204597961686114,254.3903431506525,159.3933895500152,33.563271621432534,444.6214696065253,283.5722533375485,460.6163096273158,128.39967006376335,101.36262802978514,130.2582405232965,2.27547818448068,236.96728676212325,82.03522732469898,50.25031111719002,100.92657688129202,156.48833473076468,268.72322705434533,107.14407143574626,1.5564975621414903,21.971043821298085,220.85883967134254,5.177418308647826,413.55152995748864,354.4697094673563,66.834025460392,136.96602080469987,326.1015565909409,686.033559014739,84.59940424123981,65.26225248030664,915.9358028682227,263.89099534701364,23.889530694497573,159.0548446921005,212.95354519021916,0.5825997912277424,158.17270738035668,27.11186750048828,286.99920671918846,289.97814265671406,236.74605451489361,374.3118442204688,270.9317552423119,566.5478117520672,287.7271558679759,33.53271127016772,143.32854223688474,97.60100679309117,502.84665329656906,68.0469391591728,121.33922336218875,147.7944181887568,384.569962854152,589.0973596057447,562.1345843549047,305.57346167292434,142.62433877088515,276.38349647422103,301.49820817344096,618.5193650231107,237.3566463336559,551.7721636579173,682.0652511023196,761.8449419503623,24.165662220759444,90.38983620734389,586.6818610069653,135.85581750530446,33.39762593580066,489.50131128668704,484.7960325879275,163.0214611263388,178.63658411601156,27.243102530215253,626.4781484095039,538.877190451137,39.09623583070854,244.37248184318145,455.13318069986514,11.811356456249555,380.84387739583633,25.67696272840831,58.364040604770636,66.89951867522888,59.87683168372997,336.8199374630852,1.6820324771205708,322.6888570786823
P7GQAWRUU115T75,82.65983806270249,519.2171811741033,898.4665645467464,705.4605547649581,282.9327184124446,28.64416812978572,24.007681490107945,55.584161617040316,87.99969236035713,612.1737562382664,83.03712020968108,285.6966586214737,6.317900998034597,377.7137828153397,222.07885993446934,389.27760852105575,596.9887663495955,856.4464795335426,199.49430514543405,240.92602131870976,111.30824473655917,356.3493239699086,0.16114079001673653,458.8944788605673,272.08292484937255,17.375214574468238,112.19869968357706,432.2962378633945,363.6091086748886,247.0005874222144,1.2448727869617846,547.0229418101304,69.59263151085574,5.390917997718571,196.4171866416201,321.198410139571,366.6397596209202,208.74117038855664,361.2661146599439,377.53193957577116,408.51056986071865,46.33066411975298,832.2117820965332,571.7099336135425,7.259013339653391,341.9123772729608,76.36515164056757,1.6769956377997737,221.93806518089366,0.5364951485798993,218.64218847426042,205.41147209505806,862.8719787928807,498.71493477493675,756.1284898169489,486.38546995657833,345.47422925014064,276.3188712739977,503.1491913613524,197.6527913049359,624.7052030585708,35.86756087593396,261.56955792425623,404.52201037802695,68.51729940949306,684.3280783281125,56.49155539137002,428.5896702336081,185.94649871189236,384.9225701416588,223.30790316515075,308.3213298380351,194.2356648537389,198.71332095277958,335.29332044709764,779.2985668400498,28.613268248439578,78.3658770888368,419.54612693188795,207.6985026796374,61.50793727087723,554.6167612188132,280.6008618218694,174.562652151771,10.15443511538042,41.684855810618124,4.880403823851796,446.0201231834777,1.3002937707847755,749.5110168322575,584.3336250359222,79.46408606923063,376.61346412154523,96.23624455584596,113.28199015837428,20.424996583026452,34.44938251165099,297.52026051722106,8.723065376306755,430.54164015746915
33H9X285RT1G7Q6,69.34190816754086,52.1365539193354,913.6831432974409,445.12125687334606,292.1354589304106,254.40169172912172,78.65006949764074,28.51974437580445,16.610695594707245,819.0137122438083,188.85526582461574,234.56242421711582,14.122116921936687,47.92843294847887,227.99418317187448,84.01610695333362,684.0419137601597,511.0927193849339,720.0106635682193,92.3076852921527,70.53865919599463,286.29898486784066,7.447180043787023,18.84031455675889,181.64436456248347,125.36594558391505,57.544483342735475,479.8224803152163,45.29934927614746,222.68118517297904,0.0046600011363349125,278.27343673338817,503.50882610770793,6.537918809572351,116.93791912739663,723.034681510437,173.44951683715834,184.51070147369066,409.75531616250134,856.8822805528147,235.35325492589928,13.223045169991488,874.0778375818837,210.61284178230693,21.695460455477587,177.29170812047371,167.78348671251442,13.864929433664258,584.5296170657311,75.13040903947392,120.71294928514712,197.14536792583712,800.5715460272663,198.71934837242313,451.77673817897886,692.2773761704826,436.4404208779828,425.0736878582733,400.95430570875703,187.27767213210586,103.48083110372292,83.7138087171153,224.27267386411071,28.43055400313231,236.77937610701892,594.4104568975592,124.06953048130103,177.97478384021665,49.988427487553075,403.8996859468332,427.7736671713433,694.320017168566,261.78454249950556,617.2074009048837,151.86422645217658,467.12733549996767,33.60767571477767,275.77839930512255,366.56390712781456,14.339761520764304,20.087301659836474,620.2825442886254,180.4448105697549,415.78748351566975,241.86045400791716,3.7799516830009705,115.11134931719337,3.6348300535482583,25.547904414225787,67.3954557377285,611.9170038175421,360.11745368590584,157.4625824485615,799.8488930640142,86.74883106394341,6.2723378679594735,27.567778201631768,314.9679027691375,11.084487866172083,74.26720312244827
P5WGVJZUXN9PO2M,10.553717241825058,239.0387943865495,173.39081407571527,165.50925584983491,32.43318915447866,273.06163727384,166.9596939660939,59.7815785902048,79.62302280369698,953.2566776853705,63.98534834463114,797.9202697959662,18.74004949216542,85.5519047712271,460.3055121837423,66.24205664785458,310.4197391218655,337.60011802450873,700.794755125573,560.1752969322679,51.19514478833095,132.46339173999542,3.8931029827343826,195.97019348730626,259.60389852327796,118.15680176352728,44.55575675656158,601.4242020151916,429.4123037504938,218.72221239656588,0.08223092040851565,815.5214607633667,433.3178022339579,5.655147865048172,443.39160204985757,676.1954096565023,42.26313839637637,152.368472964284,164.63760421033462,448.56783045806026,426.709575329599,25.526826254876635,640.5104812506451,52.44262928769265,28.150425974134695,297.6762622192035,129.82500286077385,15.294662099920519,827.508365550438,3.0112491314899255,108.75130134490352,313.4822136102353,415.9649586934243,443.5935194818829,579.5038076277424,243.92188325856407,151.03937535143933,403.65944305129796,117.69393485589563,49.599418772816996,296.58958617676524,68.01175368780127,38.71491093597726,81.03210143350492,235.9822666910042,386.5955726299317,69.28052123344072,359.65574876637015,210.1916343798316,808.9180094798804,550.6695473288917,280.1655469811877,102.97661015752513,436.23771890542884,714.7908000374715,597.9922718653621,50.22574821329361,93.5857522568624,561.3270701314837,200.33235848080878,6.86375705210215,214.25864626794558,415.90745369954004,69.33682288067246,94.1411641692952,24.210681978325326,628.9210738063687,186.22314813967085,15.481053628234928,342.2235984166261,589.4262542482836,127.74420640945883,209.9779981302669,843.6810961356741,114.36799548124604,60.21740121811937,173.23133377956518,943.5631088817889,10.291825499515967,28.98387048701031
8SSIVWQ3PM2GG0J,48.65996302744498,656.6676810052559,292.73926752659685,58.92169857762843,47.87234976606227,227.99660890304105,44.53263429611118,31.104518778603346,50.069095185361135,389.29010216429367,23.607286155190053,155.78443311697282,19.156623641955647,254.79268947535985,165.97479541476372,29.974228308545506,226.14018556175026,241.28677361370805,247.81431771709904,570.0687997032252,67.57628440887574,42.049997835221035,13.541209702605547,104.87132803543462,269.31380692519116,44.390571854743655,123.29596974121142,576.6023463073573,12.906588906751669,161.51566872839135,0.4119546677350381,81.00595855325702,453.95103092372545,1.7081090164516706,93.63790938954027,248.00084524586813,316.3031062429491,150.30146778469765,159.8302499600803,860.6225882714675,159.62322092639658,5.553525026153785,186.99949636574007,434.1832995723868,0.7682398227846186,178.89986671388255,14.335163832332642,10.231850553391428,838.7990091918869,35.75886215856178,33.078308197539,271.17887399935876,785.3184670281037,223.40260279401213,212.1262094645942,219.59901273123202,138.87990108233592,292.59834164398126,281.6625369320246,77.49242346418437,602.5537597038431,38.93278132087286,198.39396773256973,237.10458563416103,441.02973156111534,403.6412148593922,382.55291722457986,464.9310150811697,7.525954535347374,684.7830051628433,259.5775201008677,136.06678145235708,412.5160001618216,306.0672496458415,588.1684237417328,172.00847018544476,65.77274636408758,500.4291573525304,562.4311553949952,129.76584891762076,12.797607692883258,565.7238698184253,216.79079851456981,348.1756097962332,143.41713084803018,4.591539160704633,542.5132871025099,587.1046687402385,40.09811696081551,51.18484651493733,153.61703333263412,28.41933329403429,380.7492806701746,439.0236650755179,34.83612871734755,42.461091571246136,303.41908831922655,26.32408417741799,2.085629588308368,281.2214177081419
72MC3X8LQF0C9S0,61.63761339575381,510.41951884737625,430.917831763055,554.3277798570715,299.7417589374033,270.2858816365773,65.1619698069725,62.62260157977866,36.436554798694516,492.8491011637165,82.24305854938066,370.05628371938036,32.29348164915084,336.1953129431559,36.28654840739192,136.59924794325542,319.62805996702997,380.8824001422262,420.9033852222524,34.293062203062256,85.03915988297629,326.1098438103877,4.317649062783144,426.058570164803,150.15600099432947,125.06006583048627,9.072699474126248,178.89659432775701,146.3233480143734,97.38296081500663,0.1325204226146932,188.57984209176365,122.65550096551787,6.391844861247467,334.13282864130235,431.43287253305334,591.5271805050518,42.06282706275835,68.01184185472503,649.0747760897608,365.6139786223426,41.141038511697275,240.28688705679258,321.68637386894176,9.623821317450572,164.18203585615547,20.653796887327736,5.731085520087526,339.52543966435326,94.50610883601355,287.0797679853137,362.4333299903757,941.8458722708574,272.64236450912637,344.1413231327441,462.2504209398783,182.89484702810574,470.8734390749592,503.86132663817324,16.05444352771327,914.7910186872134,29.023350492758233,247.31012411434415,366.4345693146925,389.1422330788033,329.1172172495202,521.7440462032251,364.76383368775,31.73781678111695,261.2640574178296,64.5148974900983,720.3249627348049,312.1507062348444,528.1724304731097,666.1185907354845,677.6584350734554,86.92927016439349,257.4208365878246,80.953642615096,154.2347867859524,33.41670025964215,125.46999243225356,91.32780778372987,201.92702861292415,18.957871314444827,4.283479809994955,95.34184832044834,521.7387655811626,10.178747521888733,88.69848411374015,468.2423954295777,102.28831866730094,363.1243117921519,663.9470051962086,60.63887967546067,21.452275598156263,74.36148898027193,720.868361584277,13.086472737950666,474.86844879152295
APACBLEQVEWM8SZ,41.18648525099073,572.5462050140247,103.64823629716791,869.5433581996417,161.00499246923053,68.25124240896642,69.30885651573614,71.71181945495502,87.20241730805262,970.8370222472238,6.929007320086236,732.1558916734525,37.77890729335013,38.3895246642011,300.86755387870613,374.2324760997515,36.304391120156446,340.48584489394585,306.9648871526372,514.2551222764753,54.046852525197906,222.7800188305501,9.4045128744069,297.4755371625607,8.993539631685165,6.450531479078546,17.23487605175546,129.40265317203685,12.322568005256022,140.4102371684715,0.14636624500924156,641.4745526583513,93.74298113674482,4.40642426240287,332.8628679878614,264.15743961437295,28.107019126052332,66.49379270468685,90.09046104741765,399.188871546196,411.74146754562327,33.28486227647108,703.336783553512,423.4570802050982,42.99619048980074,5.859348133999218,136.2733350355429,27.484907876486908,366.35718949756534,55.794756927363274,190.68129046079002,362.8581698637641,792.2000061486088,173.75039950705101,701.5505525473493,414.64141954272725,247.28255462658203,112.8414517104914,549.5038929877852,134.3535689156109,591.1210624183348,46.373749131058744,237.95284888899914,357.60681363050287,193.73791164376973,54.110587733719015,98.5274835728588,239.2822616170571,18.681157321864923,654.7044726467847,512.5618668733895,264.3759131696314,237.50620600336654,739.966050284396,477.8090567656128,727.7208578768058,125.7758638655536,555.371527589017,148.16961132651497,105.34003510725213,35.66926903856053,235.5693989804785,134.0748947059821,140.82756186919173,37.04913522627477,27.22792297508216,387.634220776936,612.2021122668037,40.2733483249084,604.2501159609112,658.3555381028689,370.5704702549112,24.49467585734554,776.6395226092632,69.13359232083495,55.91947737387079,1.9263313003121145,410.901641538619,4.591238327188735,268.3513707206409
MJ2WBH099SR571S,42.44996810016042,643.1736453233962,508.2634448292803,412.21128784375674,223.06670123871024,274.1876882947572,183.20996307747203,27.976633321133743,58.987159189432035,925.6739100606114,83.57162852622976,390.5766140152012,21.86165348026088,199.03008227777443,259.1840470308317,203.6661843261792,466.5955874172564,240.66734834429488,605.9129374209203,303.3026011391271,81.59733127976108,427.0836056311551,15.59256707429119,366.5082792229169,278.8037021471247,10.296508165327843,81.31232376146838,522.1640898036666,58.91292649612296,181.51293393421915,0.11485268200120347,107.0686604667639,323.85429598436343,4.2948500550187525,142.74998604399963,615.109568876426,145.89840020273417,142.1460843907193,412.11004365514344,291.4487001783507,114.9061949848505,32.7338785014043,124.08705839326863,16.656298649166754,14.004136666369925,52.95090500839392,137.2580812027083,28.284098449147177,87.14342967416106,88.20711479071277,161.67648954168382,418.2936962116092,870.3631434208262,398.3786868859194,578.0625628463355,13.74730338531758,458.9785378771651,261.5215259531044,269.9906579188087,37.570627955772565,162.70946225424916,9.772840435891979,115.55042109929607,85.57127767580077,314.57054707914347,530.2070954820165,286.9239890723729,181.37223206157438,150.925729524885,307.66585149757356,13.773985341667812,443.1699518580051,222.76139635958327,824.7302397325682,107.58970238430267,461.3899630498389,32.61613076532544,567.8422207831607,201.24652094148922,44.212271365710286,68.72666055281645,191.86263403165515,590.7299965542873,356.79046312892694,142.55025689569237,3.362591482197097,724.9991267416306,774.058810130825,9.885154137793664,179.35098337025056,425.9672803983823,14.286991177668838,276.61008417669166,312.801906662869,21.617316917397872,68.5914460232157,62.049201306274625,572.8254914117508,0.7159215380465143,558.9441789437635
7FRTS4M1HNW1BST,45.33896701105282,506.7437427609671,8.875335199753257,681.4447871605057,178.13362750005308,355.780849584662,111.77823171428697,0.5461071452937318,12.831722293254732,522.3007004310908,160.90118099468174,180.98552585158606,25.426150545744065,398.34993572040474,327.03673489211104,102.37962104979295,271.92287138869176,72.48815295759165,189.39670546175608,332.1767484820413,22.59458205461057,216.4894808812399,4.851123532207136,410.38249267368343,114.78062388756153,81.19378558962636,52.86659187384758,545.4060970999245,439.2570749032507,109.62456593494375,1.398375877872357,477.23868283526343,130.67844090800165,2.6321205954823057,18.63377311884502,62.79454953995841,422.4720207226232,112.53438867964181,200.6403730745607,245.93447992414542,241.73455486417254,51.33131543434569,905.1538282998765,225.03801882003893,45.18315420735799,220.98313915823198,83.0572992401105,17.354466179621873,814.6981081721432,77.96590985124817,49.10501909033665,334.8123584645432,200.1316755562724,277.61935810953315,511.7117205649275,48.93962525449875,182.4860076027748,100.72765584285294,266.64943534863284,41.40498171933828,314.5919401556502,55.433272043142345,285.25286445196764,332.28493651942784,463.60769550467853,344.84686529716885,723.60904415514,36.34445948280316,177.58066380997906,770.6853130769927,83.36831196065896,240.357616241189,311.93293698207367,804.420197516746,299.7038562736184,289.9889292770718,125.80420954097602,490.21779140962445,518.3985440145077,198.42648564589163,6.947754227108614,654.6176356431234,478.6109724306366,564.7046966813699,251.79204711735258,30.707120821128292,334.6208789894718,620.4608778710087,7.757383355458246,880.6424961539765,156.44585540362525,168.6907984039425,130.36731471234086,422.8526532264659,20.755136148290163,69.67390903366292,196.68947884438413,158.46241255493263,5.037339018681414,477.3262327699147
